label,source,target,id,Weight,Nature of Relationship,Weight_dynamic,Citation,size
Corporate,157,155,189,1.0,Bellerive is part of VCS Mining-joined same time as Rodham,,http://www.washingtonpost.com/politics/role-of-hillary-clintons-brother-in-haiti-gold-mine-raises-eyebrows/2015/03/20/c8b6e3bc-cc05-11e4-a2a7-9517a3a70506_story.html,1
Corporate,3,113,121,1.0,Christie Lobbied for them in 1999-2000,"<[9.151488E11, 9.795168E11, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Lobbyist,1
Corporate,158,161,193,1.0,Craig Toll was the CFO for InnoVida while Osorio was CEO,"<[1.1676096E12, 1.2937536E12, 1.0]>",http://en.wikipedia.org/wiki/Claudio_Osorio,1
Corporate,158,159,191,1.0,Osorio was the CEO of CHS,"<[6.31152E11, 9.782208E11, 1.0]>",http://en.wikipedia.org/wiki/Claudio_Osorio,1
Corporate,113,112,119,1.0,Uni.Ph. is a subsidary of Apollo,"<[7.573824E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/University_of_Phoenix,1
Service,73,72,59,1.0,Member of CFR,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Members_of_the_Council_on_Foreign_Relations,1
Personal,139,117,153,1.0,Nancy is Paul's Mother,"<[6.31152E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Angelo_Mozilo#Friends_of_Angelo_.28FOA.29_VIP_program,1
Shell Money,49,34,13,1.0,Shell PAC,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,128,127,139,1.0,Prince founded Academi/Xe/Blackwater,"<[1.2365568E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Erik_Prince,1
Personal,3,68,107,1.0,Christie campaigned for Bush and was his campaign lawyer in NJ,"<[9.151488E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie,1
Corporate,107,109,116,1.0,DH&P was FirstEnergy's lobbying firm,"<[9.151488E11, 1.479168E12, 1.0]>",,1
Corporate,148,155,184,1.0,Rodham (on the board) may have helped negotiate a Hatian gold mining contract for the company using the Clinton Foundation as its social intermediary),,http://finance.yahoo.com/news/vcs-mining-responds-recent-media-221600832.html,1
